"(-0.4399, 0.1001, -0.4899, -0.2399, -0.39)","(array([ 2.6498, -2.0537,  0.25  ]), array([ 0.    ,  0.    , -0.6667,  0.7453]))"
"(-0.44, 0.1, -0.49, -0.24, -0.33)","(array([ 2.7684, -1.9147,  0.25  ]), array([ 0.    ,  0.    , -0.6442,  0.7648]))"
"(-0.4389, 0.1008, -0.4892, -0.2467, -0.3292)","(array([ 2.7674, -1.914 ,  0.25  ]), array([ 0.    ,  0.    , -0.6447,  0.7644]))"
"(-0.44, 0.1, -0.49, -0.12, -0.33)","(array([ 2.8912, -1.8491,  0.25  ]), array([ 0.    ,  0.    , -0.5972,  0.8021]))"
"(-0.44, -0.33, -0.49, -0.12, -0.33)","(array([ 2.0492, -2.4658,  0.25  ]), array([ 0.    ,  0.    , -0.7546,  0.6562]))"
"(-0.44, -0.33, -0.49, -0.12, 0.18)","(array([ 3.0417, -1.3401,  0.25  ]), array([ 0.    ,  0.    , -0.5646,  0.8254]))"
"(-0.22, -0.33, -0.49, -0.12, 0.18)","(array([ 3.1335, -1.2911,  0.25  ]), array([ 0.    ,  0.    , -0.4706,  0.8823]))"
"(-0.22, -0.33, -0.49, -0.12, -0.09)","(array([ 2.6894, -1.977 ,  0.25  ]), array([ 0.    ,  0.    , -0.5852,  0.8109]))"
"(-0.32, -0.33, -0.49, -0.12, -0.09)","(array([ 2.6441, -1.9901,  0.25  ]), array([ 0.    ,  0.    , -0.6249,  0.7807]))"
"(-0.32, -0.33, -0.49, -0.12, 0.13)","(array([ 3.024 , -1.4495,  0.25  ]), array([ 0.    ,  0.    , -0.5354,  0.8446]))"
"(-0.32, -0.33, -0.49, -0.33, 0.13)","(array([ 2.8111, -1.5724,  0.25  ]), array([ 0.    ,  0.    , -0.621 ,  0.7838]))"
"(-0.3201, 0.22, -0.49, -0.3301, 0.13)","(array([ 3.4272, -0.4284,  0.25  ]), array([ 0.    ,  0.    , -0.385 ,  0.9229]))"
"(-0.3201, 0.22, 0.04, -0.33, 0.13)","(array([3.5843, 0.5204, 0.25  ]), array([ 0.    ,  0.    , -0.1297,  0.9915]))"
"(-0.32, 0.22, 0.04, -0.33, 0.19)","(array([3.5473, 0.7115, 0.25  ]), array([ 0.    ,  0.    , -0.0999,  0.995 ]))"
"(-0.32, 0.05, 0.04, -0.33, 0.19)","(array([3.6095, 0.2867, 0.25  ]), array([ 0.    ,  0.    , -0.1839,  0.9829]))"
"(-0.32, -0.04, 0.04, -0.33, 0.19)","(array([3.613, 0.059, 0.25 ]), array([ 0.    ,  0.    , -0.2279,  0.9737]))"
"(-0.32, -0.33, 0.04, -0.33, 0.19)","(array([ 3.4858, -0.6611,  0.25  ]), array([ 0.    ,  0.    , -0.3663,  0.9305]))"
"(-0.3199, -0.3299, 0.0401, 0.3601, 0.1901)","(array([3.6569, 0.1143, 0.25  ]), array([ 0.    ,  0.    , -0.0298,  0.9996]))"
"(-0.32, -0.11, 0.04, 0.36, 0.19)","(array([3.5994, 0.6753, 0.25  ]), array([0.    , 0.    , 0.0799, 0.9968]))"
"(-0.32, -0.11, 0.09, 0.36, 0.19)","(array([3.5729, 0.7651, 0.25  ]), array([0.    , 0.    , 0.1048, 0.9945]))"
"(0.4299, -0.11, 0.0899, 0.3599, 0.19)","(array([3.3779, 1.0528, 0.25  ]), array([0.    , 0.    , 0.4616, 0.8871]))"
"(0.43, -0.11, 0.09, 0.36, -0.04)","(array([3.5391, 0.3435, 0.25  ]), array([0.    , 0.    , 0.3569, 0.9341]))"
"(0.43, 0.16, 0.09, 0.36, -0.04)","(array([3.3513, 0.9817, 0.25  ]), array([0.    , 0.    , 0.4794, 0.8776]))"
"(-0.3399, 0.1601, 0.0901, 0.3601, -0.0399)","(array([3.56  , 0.6931, 0.25  ]), array([0.    , 0.    , 0.1149, 0.9934]))"
"(-0.34, 0.16, 0.09, 0.33, -0.04)","(array([3.5744, 0.6603, 0.25  ]), array([0.    , 0.    , 0.0998, 0.995 ]))"
"(0.25, 0.16, 0.09, 0.33, -0.04)","(array([3.4405, 0.9023, 0.25  ]), array([0.    , 0.    , 0.3849, 0.923 ]))"
"(0.25, 0.16, 0.31, 0.33, -0.04)","(array([3.2167, 1.2393, 0.25  ]), array([0.    , 0.    , 0.4838, 0.8752]))"
"(0.25, 0.16, 0.31, 0.47, -0.04)","(array([3.0854, 1.3381, 0.25  ]), array([0.    , 0.    , 0.5438, 0.8392]))"
"(0.06, 0.16, 0.31, 0.47, -0.04)","(array([3.1642, 1.2945, 0.25  ]), array([0.    , 0.    , 0.4618, 0.887 ]))"
"(0.06, 0.16, 0.31, 0.47, 0.28)","(array([2.6158, 2.1026, 0.25  ]), array([0.    , 0.    , 0.5973, 0.8021]))"
"(-0.2, 0.16, 0.31, 0.47, 0.28)","(array([2.729 , 2.0533, 0.25  ]), array([0.    , 0.    , 0.4882, 0.8728]))"
"(0.38, 0.16, 0.31, 0.47, 0.28)","(array([2.4656, 2.1207, 0.25  ]), array([0.    , 0.    , 0.7174, 0.6967]))"
"(0.38, 0.16, 0.29, 0.47, 0.28)","(array([2.498 , 2.1052, 0.25  ]), array([0.    , 0.    , 0.7104, 0.7038]))"
"(-0.03, 0.16, 0.29, 0.47, 0.28)","(array([2.6881, 2.0696, 0.25  ]), array([0.    , 0.    , 0.5522, 0.8337]))"
"(-0.03, 0.1601, 0.2901, 0.4701, -0.1799)","(array([3.3675, 0.8332, 0.25  ]), array([0.    , 0.    , 0.3477, 0.9376]))"
"(-0.03, 0.16, -0.09, 0.47, -0.18)","(array([3.6169, 0.1798, 0.25  ]), array([0.    , 0.    , 0.1642, 0.9864]))"
